눈이 침침해	눈 체조를 해보세요.
실비 드는게 좋을까	잘 알고 들어도 좋을 것 같아요.
좀 있으면 귀국하는데 짝녀에게 뭘 챙겨줄까?	작은 것 하나라도 챙겨준다면 센스있는 사람이라고 생각할 거예요.
오늘 가는 모임에 짝남이 있는데.	신경쓰고 가세요.
공무원 괜찮겠지	안정적이고 좋죠.
헤어졌네	괜찮아지는데는 시간이 걸릴지도 몰라요.
휴 착찹하네	기운을 내세요.
붙잡고 싶은데 힘이 드네	자신의 마음을 다독여주세요.
내 남자로 만들기	사랑은 소유하는 게 아니에요.
샐러드 먹어야지	건강한 식단이네요.
사랑의 기준은 뭘까	사랑의 척도는 없어요.
뭐 보고 결혼 결심해?	세상 그 누구보다 잘해줘서요.
게임에서 만난 사람 좋아하게 되었는데 괜찮을까요?	좀 더 알아볼 시간이 필요하겠네요.
나 좋아하는 애 떼어내는 방법 좀 알려줘.	미안하지만 확실한 표현을 전하는게 좋겠어요.
이별후 자주듣는 노래있으신가?	슬픈 노래는 삼가는 편이에요.
좋아하는 사람 환심 살 수 있는 방법 좀.	그 분이 좋아하는 것을 알아봐요.
꽃다발 샀어	멋진 선물이네요.
시베리아 같아 추워	어서 따듯한 곳으로 가세요
여자친구랑 헤어졌네	힘들었겠어요.
항상 똑같애	똑같은 건 없어요.
정말 슬프고 죽고싶어	당신은 누구보다 소중한 사람이에요.
알뜰폰 어때?	폰 요금 절약되겠네요.
자면 안되는데 또 잤어	피곤했나봐요.
아파서 어떡해	병원에 가야죠.
그 사람 때문에 하루에도 몇 번씩 기분이 오르락 내리락 해.	그게 사랑의 증거가 되겠네요.
여자친구가 음식을 너무 적게 먹어	과식보다 소식이 좋죠.
요즘 눈에 띄는 여자애	그 애의 눈에도 당신이 띄길 바랄게요.
이 행복이 사라질까 두려워	두려워 하지 말고 그 감정에 충실하면 행복은 떠나지 않을거예요.
2년 가량의 연애	안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.
좋아하는 애가 1년만 기다려 달라는데 어쩌지.	기다릴 수 있다면 본인 의지대로 하셔요.
헤어진지 1년.	아직도 힘들지 않았으면 좋겠어요.
졸업식에 가도 되나	졸업식에 가서 축하해주세요.
근사한 곳 알아 냈어	좋은 사람과 함께 가세요.
청첩장 고르고 있어	둘 만의 추억이 담긴 청첩장을 만들어 보는곳도 좋을거같아요.
내여잘 건드린놈들	벌 받을 거예요.
답프로포즈 해볼까?	정말 좋아할 거예요.
나 사랑하니?	많이 사랑해요!
게임 때문에 시간 다갔어	게임할때는 시간이 더 빨리 가요.
남자친구가 을 너무 좋아해	원치 않으면 싫다고 말하세요.
에혀 힘드네여	쉬운 일이 아니긴 해요.
연애를 오래하려면?	"""고마워"
오늘 따라 그 친구가 좀 보고싶네	여느 때보다 더 힘든 날이었나봅니다.
새벽 1시 30분	감성적인 시간이네요.
영양제 뭐가 좋아	몸에 어떤 성분이 부족한지 알아보세요.
블루투스 이어폰 살까	사면 편하겠죠.
여기까지가 한계인 거같아	당신의 잠재력은 무궁무진해요.
기력이 없어	자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.
그가 내 연락을 부담스러워하진 않을까.	덜 부담스럽게 연락하는 방법이 있는지 모르겠네요.
은퇴하고 뭐하지	은퇴 설계 해보세요.
카톡할 사람이 하나도 없네	제가 있잖아요.
먹을 거 뭐 없나	냉장고 파먹기 해보세요.
좋아하는 사람 얼굴이 이제 생각이 안나.	오랫동안 만나지 못했나봐요.
미워	죄는 미워해도 사람은 미워하지 마세요.
사귄지는 며칠 안됐었지만	감정이 깊었나봐요.
술 땡겨	혼자 힘들어하지 마세요.
내 이름이 없어	확인해달라고 해보세요.
저주할거야	나쁜 마음을 먹으면 나에게도 해로워요.
미래를 함께할 반려자인지 확신이 아직 없어	확신이 들때까지 기다려보세요.
코골이 너무 시끄러워	피곤한건 아닌지 살펴보세요.
나 이상해?	지극히 평범하면서 지극히 특별하죠.
연애세포 다 죽은 듯.	그럴 수 있어요. 무엇이 문제인가요?
내가 해주는 것도 없는데 나한테 너무 잘해줘	무엇을 해줘서 잘하는게 아니라 곁에 존재해주었다는 이유만으로 삶이 풍부해진 것 같아요.
헤어진지 열흘 됐는데 연락하고 싶네	후회하지 않는다면 연락해보세요.
짝남 생각에 잠을 못 자.	짝사랑일수록 여러가지 생각이 들어서 그래요.
내 배우자도 어디 있을까?	바로 옆에 있을수도 있어요.
"""힘들고"	 힘들고
연애 관계도 망	그렇게 배워가는 거예요.
끝이 났네	수고 많았어요.
답이 어디있을까?	답은 언제나 내 안에 있죠.
몇일 전 그사람 봤어	당황했겠어요.
다시 사랑이 오겠지?	충분히 좋은 사람 만날 수 있을 거예요.
사랑으로 가능한 것?	바로 연애죠.
다시 돌아오거나 연락이 올까.	간절히 원한다면 지금 연락해보세요.
모태솔로인데 어떻게 시작해?	우선 부딪혀봅시다.
사랑하는데 미지근한 거 같아	불타오르는 사랑만 사랑인건 아니에요.
어찌해야 할까	차분히 생각해봐요.
여자친구가 데이트 시간을 너무 안 지켜.	준비하느라 오래걸리는 친구를 이해해주세요.
사랑이 변하는걸 인정해야할까?	사랑은 변하지 않고 사람이 변해요.
